id	tweet	subtask_a
8573	Θα σου βεβήλωνα το ΚΑΦΑΟ ρε #κυρανακης αλλά θα με πείτε ανθέλληνα τρομοκράτη	OFF
8756	σιγα Ηλιαννα εμετο θα κανουμε με τοση καλοσυνη #gntmgr	NOT
6162	Με νοιαζει πιο πολυ η κοτα... να ειναι στο φουρνο με πατατες #gntmgr	NOT
5373	νομίζω πιο άσχημες από τη μαρτίνα και την ασημίνα δεν υπάρχουν εκεί μέσα #GNTMgr	OFF
8547	Μαρια πλακωσε ατο ξυλο την Σουζανα!#GNTMgr	NOT
3748	@USER πού εισαι; Το αγόρι σου πετάει!	NOT
9175	Θαα αυτοπυρποληθω τελειωνετεεε... #TheVoiceGR	NOT
5291	@USER Με οσους βριζουν αναιτιως μαλωνουμε. Ειδικα οσους βριζουν γυναικες.	NOT
9022	"""καλημερα, γιατι ξαφνιαζεστε ρε μαλακες; πως εσκασε δηλαδη η χρυση αυγη; με μετεωριτή; υπηρχαν ατομα που λεγαμε χρονια, οτι ο """"λαος"""" ειναι βαθια ρατσιστικος και κανιβαλος και εμας ελεγαν αντικοινωνικούς, φατε απευθυνση τωρα... αει σιχτιρ.."""	OFF
10049	Απιθανα τα ρουχα του κου Μπρατη. Ονειρεμενη και εμπνευσμενη κολεξιον αναδυει μια εκωφαντικη απλοτητα . Μπραβο!#gntmgr	NOT
4884	ΚΑΤΙΝΆΡΕΕΕΕΕΕΕΕΕΕΣΣ #gntmgr	OFF
718	@USER Και γω λυπάμαι τους πουστηδες. Μια ανωμαλία που προσπαθούν να επιβληθούν στους κανονικούς ανθρώπους με καθαρό ρατσισμό. Όσον αφορά για τα παιδάκια που θέλουν να υιοθετήσουν, δε θα υπάρξει σωτηρία γι'αυτα.	OFF
4813	"""@USER Πολλοί πάντως συμφώνησαν με την αφελεστατη προσέγγισή της. Εδώ μαλώνω στα ταμεία αν δω έγκυο γυναίκα που δεν δίνουν την σειρά τους και θα ξεστομιζα κάτι τέτοιο; Υπάρχει ένα μπαγκραουντ που τροφοδοτεί τις """"αφελεστατες"""" απόψεις της... Απλά έκανε το λάθος και το είπε δημόσια..."""	NOT
