,0
0,አንተ
1,ነህ
2,ጭ
3,ደደ
4,እንዴ
5,ታም
6,ደል
7,ሸት
8,ወራ
9,አብይ
10,ንዳ
11,ጉ
12,ወያኔ
13,ጋ
14,አፍ
15,አሸባሪ
16,መለስ
17,ክራ
18,ረገ
19,ቆ
20,ከራ
21,ጩ
22,ዝ
23,ለሽ
24,ጥል
25,ድንጋይ
26,ዠ
27,ንቅ
28,ገዝ
29,ቀበ
30,ናገረው
31,ዳይ
32,ሰት
33,ራፊ
34,ቡድን
35,በቀለ
36,ኖረ
37,መዛ
38,አሰፋ
39,ስለተ
40,ፊት
41,ግፍ
42,ኤ
43,ሳይ
44,ለስ
45,መረዳት
46,ቾች
47,ታማኝ
48,ዩኒቨር
49,ሻሻ
50,ድራማ
51,ርፍ
52,ጬ
53,ተገደሉ
54,ላው
55,በታ
56,ቆመ
57,አደረገ
58,ፓር
59,ኮን
60,ኑሮ
61,ጉድ
62,ላላ
63,ተገኝ
64,ሰቃ
65,እንግዲህ
66,ድህ
67,ዜናዊ
68,ድርጊት
69,አይቀርም
70,ዳም
71,ጋዜጣ
72,ወሩ
73,ዲ
74,ኦነግ
75,ሸዋ
76,ስብስብ
77,ድምፅ
78,ፂ
79,ቆይታ
80,የገ
81,ሽብር
82,ገናኝ
83,ንግድ
84,ጋብቻ
85,ሁለተኛው
86,ተባለ
87,ባር
88,ማስረጃ
89,ትግሬ
90,የሚያሳ
91,ነገሩ
92,ዳት
93,መስከረም
94,ሊክ
95,ዃ
96,አይሆንም
97,ያደረጉት
98,ነጥብ
99,ይመስላል
100,ኪሎ
101,ኄ
102,ምግባር
103,ነፃነት
104,ተማሪዎች
105,መጋቢት
106,አቅራቢ
107,ሰሙ
108,ጒ
109,የመጀመሪያው
110,የተለየ
111,____
112,ቌ
113,ኤስ
114,ይዘት
115,ራስ
116,ሳሽ
117,ፈራ
118,ያላ
119,ተላለፍ
120,ደሳለኝ
121,ዘንድሮ
122,ካሄድ
123,ሩት
124,ፈልግ
125,እናንተ
126,ኳስ
127,ዘዴ
128,ወሬ
129,ይኼ
130,አግኝ
131,ወረዳ
132,ቀጥሎ
133,መለከቱ
134,ፖሊስ
135,ሏቸው
136,አንዳርጋቸው
137,ኖሮ
138,ስተር
139,የገንዘብ
140,ስልጠና
141,አርቲስት
142,የር
143,አየር
144,ጏ
145,የብ
146,አሁን
147,ንግግር
148,ዩኒቨርስቲ
149,በታች
150,መጀመርያ
151,ፑ
152,የጤና
153,ሴቶች
154,ቃላት
155,ጥሩ
156,ግጥም
157,የሚችለው
158,ራሱን
159,ሿ
160,ትምህርት
161,አውሮፕላን
162,ምላሽ
163,ጨረታ
164,አባል
165,በእስር
166,ረጋገጠ
167,ቅሬታ
168,የሚገኘው
169,ቁልፍ
170,_____
171,__
172,እንደሚችል
173,ሰነድ
174,________
175,¡
176,?
177,!
178,ቀረቡ
179,፫
180,ምንጮች
181,ኴ
182,ቖ
183,•
184,ሌሊት
